epoch,accuracy,loss,mean_absolute_error,val_accuracy,val_loss,val_mean_absolute_error
0,0.6183501482009888,4.853797912597656,0.20881450176239014,0.8697183132171631,1.0522258281707764,0.12266510725021362
1,0.8526936173439026,0.8323944807052612,0.09984110295772552,0.9366196990013123,0.5514088869094849,0.058990493416786194
2,0.8984848260879517,0.5958957672119141,0.07446303218603134,0.9577465057373047,0.4238714277744293,0.044882841408252716
3,0.909764289855957,0.513774573802948,0.06656060367822647,0.9436619877815247,0.3882817029953003,0.04164157435297966
4,0.9131312966346741,0.4611234962940216,0.0604633167386055,0.9401408433914185,0.36783164739608765,0.040096674114465714
5,0.9387205243110657,0.3973124027252197,0.050349924713373184,0.9718309640884399,0.31643834710121155,0.03251558542251587
6,0.9427609443664551,0.38287267088890076,0.048878565430641174,0.9612675905227661,0.3183830678462982,0.03338891640305519
7,0.9415825009346008,0.3770202696323395,0.047944266349077225,0.9718309640884399,0.3034736216068268,0.030968310311436653
8,0.9437710642814636,0.3679410517215729,0.047043412923812866,0.9647887349128723,0.31099191308021545,0.033767782151699066
9,0.9471380710601807,0.36356115341186523,0.046438127756118774,0.9753521084785461,0.29503366351127625,0.03030981495976448
