timestamp,android_nano_timestamp,temperature,calib_mag,calib_accel,calib_gyro,calib_sys,acc_x,acc_y,acc_z,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,label,person
5.56,29891.505898628,26,3,3,0,3,10.33,1.88,-8.15,2.56,0.39,-2.35,-44.375,89.5,14.0,0.44500732421875,0.00677490234375,-0.8917236328125,-0.08209228515625,-23.25,24.5625,16.0625,7.77,1.49,-5.79,moving,11
5.57,29891.537268989,26,3,3,0,3,10.27,2.15,-5.22,2.41,0.63,0.43,-44.0,85.75,13.375,0.4517822265625,0.004638671875,-0.8880615234375,-0.0849609375,-23.25,24.5625,16.0625,7.86,1.52,-5.66,moving,11
5.58,29891.537268989,26,3,3,0,3,10.19,2.35,-4.32,2.22,0.81,1.17,-41.0625,109.5,12.5625,0.46038818359375,0.00335693359375,-0.8834228515625,-0.08740234375,-21.0,24.1875,17.1875,7.97,1.54,-5.5,moving,11
5.59,29891.551267931,26,3,3,0,3,9.47,2.52,-3.6,1.36,0.95,1.67,-46.4375,144.5,14.25,0.4715576171875,0.00146484375,-0.877197265625,-0.09039306640625,-21.0,24.1875,17.1875,8.11,1.56,-5.28,moving,11
5.6,29891.551267931,26,3,3,0,3,8.24,2.53,-3.31,-0.03,0.92,1.7,-65.5,173.75,13.0625,0.48492431640625,-0.00079345703125,-0.869384765625,-0.0948486328125,-21.0,24.1875,17.1875,8.27,1.6,-5.01,moving,11
5.61,29891.565949246,26,3,3,0,3,5.46,2.01,-2.31,-2.97,0.34,2.38,-84.9375,198.1875,7.1875,0.49993896484375,-0.0032958984375,-0.86016845703125,-0.10101318359375,-21.0,24.1875,17.1875,8.44,1.67,-4.7,moving,11
5.62,29891.565949246,26,3,3,0,3,4.35,1.64,-2.07,-4.25,-0.09,2.28,-97.1875,213.625,2.0625,0.515869140625,-0.00579833984375,-0.84979248046875,-0.1082763671875,-21.0,24.1875,17.1875,8.6,1.74,-4.35,moving,11
5.63,29891.597229479,26,3,3,0,3,3.29,1.43,-2.16,-5.46,-0.38,1.84,-101.5,209.6875,0.75,0.53125,-0.0084228515625,-0.8392333984375,-0.1158447265625,-22.0625,24.5625,15.6875,8.76,1.81,-4.0,moving,11
5.64,29891.597229479,26,3,3,0,3,1.79,1.3,-1.81,-7.08,-0.58,1.87,-103.9375,185.6875,4.875,0.544677734375,-0.01171875,-0.82940673828125,-0.1234130859375,-22.0625,24.5625,15.6875,8.88,1.88,-3.68,moving,11
5.65,29891.611382433,26,3,3,0,3,-0.28,0.46,-0.83,-9.29,-1.45,2.52,-110.125,184.1875,19.375,0.55804443359375,-0.016357421875,-0.8193359375,-0.130615234375,-22.0625,24.5625,15.6875,9.0,1.91,-3.36,moving,11
5.66,29891.611382433,26,3,3,0,3,-0.97,0.54,-0.57,-10.1,-1.38,2.44,-130.5,195.1875,41.125,0.5721435546875,-0.02337646484375,-0.80810546875,-0.13818359375,-22.0625,24.5625,15.6875,9.13,1.92,-3.01,moving,11
5.67,29891.626303738,26,3,3,0,3,-1.6,0.63,-0.16,-10.85,-1.29,2.46,-163.625,203.875,45.8125,0.5865478515625,-0.0323486328125,-0.795654296875,-0.1478271484375,-22.0625,24.5625,15.6875,9.24,1.93,-2.62,moving,11
5.68,29891.626303738,26,3,3,0,3,-1.81,0.32,-0.39,-11.16,-1.63,1.8,-188.1875,225.75,34.625,0.6019287109375,-0.04144287109375,-0.78131103515625,-0.15972900390625,-24.6875,22.5,13.375,9.35,1.95,-2.19,moving,11
5.69,29891.657651029,26,3,3,0,3,-1.9,-0.02,-0.36,-11.35,-2.0,1.35,-197.6875,245.4375,29.375,0.6181640625,-0.05035400390625,-0.7652587890625,-0.17254638671875,-24.6875,22.5,13.375,9.44,1.97,-1.72,moving,11
5.7,29891.657651029,26,3,3,0,3,-2.0,-0.42,-0.21,-11.53,-2.4,1.01,-200.125,260.125,32.125,0.63482666015625,-0.059326171875,-0.74774169921875,-0.18524169921875,-24.6875,22.5,13.375,9.52,1.97,-1.22,moving,11
5.71,29891.671416694,26,3,3,0,3,-2.0,-0.9,-0.26,-11.59,-2.86,0.43,-207.5625,273.6875,33.5,0.65185546875,-0.06854248046875,-0.728759765625,-0.1982421875,-24.6875,22.5,13.375,9.58,1.95,-0.7,moving,11
5.72,29891.671416694,26,3,3,0,3,-2.17,-1.0,-1.23,-11.79,-2.92,-1.06,-217.125,277.125,33.25,0.66845703125,-0.078125,-0.70867919921875,-0.21173095703125,-24.6875,22.5,13.375,9.61,1.91,-0.16,moving,11
5.73,29891.686903429,26,3,3,0,3,-2.17,-1.0,-1.23,-11.79,-2.92,-1.06,-217.125,277.125,33.25,0.66845703125,-0.078125,-0.70867919921875,-0.21173095703125,-24.6875,22.5,13.375,9.61,1.91,-0.16,moving,11
5.74,29891.686903429,26,3,3,0,3,-2.71,-0.66,-2.22,-12.33,-2.52,-2.57,-213.8125,264.875,34.75,0.6837158203125,-0.08782958984375,-0.68878173828125,-0.22467041015625,-27.25,22.0625,11.5,9.62,1.85,0.35,moving,11
5.74,29891.701410753,26,3,3,0,3,-2.8,-0.57,-3.4,-12.41,-2.34,-4.19,-199.875,225.625,36.9375,0.6961669921875,-0.09747314453125,-0.67083740234375,-0.236083984375,-27.25,22.0625,11.5,9.61,1.77,0.79,moving,11
5.75,29891.701410753,26,3,3,0,3,-2.84,-0.62,-4.6,-12.44,-2.33,-5.69,-166.0625,147.6875,25.9375,0.70379638671875,-0.10601806640625,-0.65814208984375,-0.2454833984375,-27.25,22.0625,11.5,9.59,1.7,1.09,moving,11
5.76,29891.716910143,26,3,3,0,3,-0.3,-1.18,-3.8,-9.89,-2.85,-4.98,-99.9375,38.875,7.625,0.70526123046875,-0.11175537109375,-0.65350341796875,-0.2510986328125,-27.25,22.0625,11.5,9.58,1.67,1.18,moving,11
5.77,29891.716910143,26,3,3,0,3,0.35,-0.73,-2.76,-9.24,-2.38,-3.85,-26.75,-63.875,11.1875,0.70159912109375,-0.11541748046875,-0.65673828125,-0.2513427734375,-27.25,22.0625,11.5,9.6,1.64,1.08,moving,11
5.78,29891.746208564,26,3,3,0,3,1.38,-1.09,-2.18,-8.24,-2.74,-3.01,35.3125,-147.0,6.1875,0.69500732421875,-0.11285400390625,-0.66705322265625,-0.2432861328125,-29.1875,21.375,6.875,9.63,1.64,0.82,moving,11
5.79,29891.746208564,26,3,3,0,3,3.34,-1.1,-1.75,-6.3,-2.75,-2.18,90.875,-221.75,0.4375,0.682861328125,-0.11199951171875,-0.68231201171875,-0.23577880859375,-29.1875,21.375,6.875,9.65,1.65,0.42,moving,11
5.8,29891.761200955,26,3,3,0,3,5.49,-0.78,-2.81,-4.17,-2.4,-2.71,137.5625,-294.375,21.3125,0.6668701171875,-0.111083984375,-0.70220947265625,-0.223388671875,-29.1875,21.375,6.875,9.67,1.62,-0.1,moving,11
5.81,29891.761200955,26,3,3,0,3,8.99,-0.88,-5.47,-0.64,-2.44,-4.6,200.875,-423.0625,26.1875,0.642822265625,-0.109130859375,-0.7298583984375,-0.20526123046875,-29.1875,21.375,6.875,9.64,1.56,-0.87,moving,11
5.82,29891.776222806,26,3,3,0,3,15.53,-0.1,-11.92,6.05,-1.49,-9.82,310.9375,-688.1875,51.75,0.6015625,-0.10711669921875,-0.7718505859375,-0.1756591796875,-29.1875,21.375,6.875,9.47,1.39,-2.1,moving,11
5.83,29891.776222806,26,3,3,0,3,25.61,3.52,-22.55,16.75,2.52,-18.48,459.8125,-1167.5625,88.5625,0.52545166015625,-0.106201171875,-0.8343505859375,-0.12835693359375,-27.0,21.375,10.25,8.86,1.0,-4.06,moving,11
5.84,29891.80677196,26,3,3,0,3,30.67,-0.96,-26.52,23.05,-1.58,-20.38,466.4375,-1395.25,-17.375,0.424560546875,-0.09832763671875,-0.8963623046875,-0.08160400390625,-27.0,21.375,10.25,7.62,0.61,-6.14,moving,11
5.85,29891.80677196,26,3,3,0,3,38.94,-8.25,-36.32,32.35,-8.89,-29.08,131.0,-866.75,-140.4375,0.35577392578125,-0.08843994140625,-0.92779541015625,-0.06890869140625,-27.0,21.375,10.25,6.59,0.63,-7.23,moving,11
5.86,29891.821514269,26,3,3,0,3,38.63,5.79,-18.16,32.06,4.96,-10.93,-28.875,-0.75,-142.0,0.3546142578125,-0.07781982421875,-0.9287109375,-0.07562255859375,-27.0,21.375,10.25,6.57,0.83,-7.22,moving,11
5.87,29891.821514269,26,3,3,0,3,25.73,3.27,-13.53,18.33,2.23,-7.19,114.25,740.8125,-275.0,0.41253662109375,-0.04705810546875,-0.90625,-0.0797119140625,-27.0,21.375,10.25,7.4,1.03,-6.34,moving,11
5.88,29891.835857205,26,3,3,0,3,12.07,7.34,-5.98,3.93,6.08,-0.65,54.25,757.5,-204.875,0.4700927734375,-0.0235595703125,-0.87811279296875,-0.085693359375,-14.1875,26.5,21.6875,8.13,1.25,-5.32,moving,11
5.89,29891.835857205,26,3,3,0,3,4.49,7.78,-5.22,-4.16,6.49,-0.81,-5.625,621.0625,-18.6875,0.5167236328125,-0.0177001953125,-0.8514404296875,-0.0880126953125,-14.1875,26.5,21.6875,8.65,1.29,-4.41,moving,11
5.9,29891.866542874,26,3,3,0,3,11.81,6.44,-9.61,2.92,5.18,-5.67,-94.5,298.3125,63.375,0.53900146484375,-0.02435302734375,-0.83685302734375,-0.09259033203125,-14.1875,26.5,21.6875,8.89,1.26,-3.94,moving,11
