timestamp,android_nano_timestamp,temperature,calib_mag,calib_accel,calib_gyro,calib_sys,acc_x,acc_y,acc_z,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,label,person
5.53,1663325.117542061,26,3,3,3,3,-1274.0,10.25,-0.72,-5.36,3.8,-0.8,-0.25,-7.8125,-10.5625,629.75,0.1368408203125,0.6910400390625,0.354248046875,0.0305,11.1875,8.0625,-46.125,6.45,0.07,moving,7
5.54,1663325.117542061,26,3,3,3,3,-1140.0,8.12,-1.19,-4.0,1.69,-1.28,-0.85,-3.9375,-14.125,630.5625,0.13580322265625,0.69085693359375,0.353759765625,0.0305,11.1875,8.0625,-46.25,6.43,0.08,moving,7
5.55,1663325.149597481,26,3,3,3,3,-1053.0,7.21,-1.68,-3.11,0.8,-1.77,-1.61,7.0,-17.9375,630.8125,0.13397216796875,0.69110107421875,0.353515625,0.0305,11.1875,8.0625,-46.375,6.41,0.08,moving,7
5.56,1663325.149597481,26,3,3,3,3,-926.0,6.54,-1.96,-1.82,0.16,-2.03,-2.3,22.8125,-21.4375,630.1875,0.1312255859375,0.692138671875,0.35345458984375,0.03,11.1875,6.5,-46.5,6.38,0.07,moving,7
5.57,1663325.163101631,26,3,3,3,3,-785.0,6.16,-1.78,-0.38,-0.18,-1.81,-2.43,39.625,-23.0,628.6875,0.12774658203125,0.694091796875,0.3536376953125,0.03,11.1875,6.5,-46.6875,6.35,0.03,moving,7
5.58,1663325.163101631,26,3,3,3,3,-575.0,4.4,-0.83,1.74,-1.91,-0.81,-2.76,58.125,-24.0,626.0,0.12359619140625,0.6968994140625,0.35400390625,0.03,11.1875,6.5,-46.8125,6.32,-0.01,moving,7
5.59,1663325.192342313,26,3,3,3,3,-477.0,3.05,-0.85,2.75,-3.23,-0.75,-4.26,80.8125,-25.125,622.0,0.1181640625,0.70062255859375,0.35516357421875,0.03,11.1875,6.5,-47.0,6.28,-0.09,moving,7
5.6,1663325.192342313,26,3,3,3,3,-411.0,1.68,-1.29,3.43,-4.57,-1.1,-4.82,99.9375,-25.125,616.875,0.1119384765625,0.70526123046875,0.356689453125,0.03,11.1875,6.5,-47.125,6.25,-0.19,moving,7
5.61,1663325.199228585,26,3,3,3,3,-411.0,1.68,-1.29,3.43,-4.57,-1.1,-4.82,99.9375,-25.125,616.875,0.1119384765625,0.70526123046875,0.356689453125,0.03,11.1875,6.5,-47.125,6.25,-0.19,moving,7
5.61,1663325.199228585,26,3,3,3,3,-315.0,0.52,-1.82,4.41,-5.7,-1.52,-5.07,109.3125,-23.75,611.0,0.10540771484375,0.710205078125,0.35845947265625,0.0303,11.0625,8.5,-47.3125,6.22,-0.3,moving,7
5.62,1663325.207594877,26,3,3,3,3,-250.0,-1.48,-1.2,5.08,-7.68,-0.8,-6.47,108.3125,-21.5,605.1875,0.09857177734375,0.7147216796875,0.36077880859375,0.0303,11.0625,8.5,-47.375,6.2,-0.4,moving,7
5.63,1663325.207594877,26,3,3,3,3,-236.0,-2.18,-0.37,5.23,-8.35,0.11,-7.93,101.375,-22.3125,599.8125,0.0914306640625,0.71856689453125,0.36358642578125,0.0303,11.0625,8.5,-47.5,6.17,-0.48,moving,7
5.64,1663325.237780912,26,3,3,3,3,-212.0,-2.8,0.31,5.49,-8.95,0.86,-8.76,94.75,-26.4375,595.0,0.08392333984375,0.72186279296875,0.36639404296875,0.0303,11.0625,8.5,-47.625,6.14,-0.55,moving,7
