timestamp,android_nano_timestamp,temperature,calib_mag,calib_accel,calib_gyro,calib_sys,acc_x,acc_y,acc_z,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,label,person
5.37,1668131.201597832,24,3,3,3,0,-1927.0,12.9,-17.93,-10.7,9.11,-15.03,-6.6,-156.25,31.5,525.875,0.65106201171875,0.47296142578125,-0.29779052734375,0.0334,-44.0625,-0.75,-53.5,3.79,-2.89,moving,2
5.38,1668131.216789239,24,3,3,3,0,-2729.0,14.22,-18.77,-18.71,10.36,-16.03,-8.03,-78.3125,26.8125,532.8125,0.64788818359375,0.46917724609375,-0.2989501953125,0.0334,-44.0625,-0.75,-53.625,3.86,-2.74,moving,2
5.39,1668131.216789239,24,3,3,3,0,-2388.0,14.8,-5.56,-15.31,10.94,-2.75,0.69,37.4375,-3.5625,530.875,0.64892578125,0.47100830078125,-0.29718017578125,0.0334,-44.0625,-0.75,-53.5625,3.85,-2.8,moving,2
5.41,1668131.246121718,24,3,3,3,0,-1959.0,11.5,-1.02,-11.03,7.69,1.86,2.17,51.625,-28.3125,527.1875,0.649658203125,0.47454833984375,-0.29608154296875,0.0334,-44.0625,-0.75,-53.5,3.8,-2.88,moving,2
5.42,1668131.246121718,24,3,3,3,0,-1662.0,7.72,0.18,-8.06,3.96,3.13,0.35,41.4375,-29.0,524.5,0.649658203125,0.47802734375,-0.29510498046875,0.0302,-43.75,-6.875,-53.5,3.75,-2.95,moving,2
5.43,1668131.262553358,24,3,3,3,0,-1495.0,5.22,-2.3,-6.39,1.49,0.69,0.0,32.9375,-20.9375,522.5625,0.64959716796875,0.48065185546875,-0.294189453125,0.0302,-43.75,-6.875,-53.4375,3.72,-3.0,moving,2
5.43,1668131.262553358,24,3,3,3,0,-1196.0,5.27,-3.89,-3.38,1.58,-0.9,3.16,-15.375,-15.375,521.6875,0.64947509765625,0.4803466796875,-0.29656982421875,0.0302,-43.75,-6.875,-53.5625,3.69,-2.99,moving,2
5.44,1668131.291967909,24,3,3,3,0,-1098.0,5.11,-4.27,-2.38,1.45,-1.3,3.64,-25.125,-14.0,521.0625,0.64923095703125,0.47943115234375,-0.299560546875,0.0302,-43.75,-6.875,-53.6875,3.66,-2.96,moving,2
5.45,1668131.291967909,24,3,3,3,0,-1009.0,4.39,-4.71,-1.48,0.75,-1.74,1.29,-3.25,-13.375,520.375,0.64892578125,0.47979736328125,-0.3006591796875,0.0302,-43.75,-6.875,-53.75,3.63,-2.96,moving,2
5.46,1668131.307809747,24,3,3,3,0,-920.0,3.45,-4.56,-0.59,-0.16,-1.58,-0.45,14.875,-13.875,519.5,0.64862060546875,0.4813232421875,-0.30035400390625,0.0315,-43.0625,-4.25,-53.8125,3.61,-2.98,moving,2
