timestamp,android_nano_timestamp,temperature,calib_mag,calib_accel,calib_gyro,calib_sys,acc_x,acc_y,acc_z,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,label,person
0.98,0.945338013,24,3,3,3,0,-359.0,8.29,-3.75,0.05,-0.03,-0.08,-0.23,-1.4375,0.0,478.0,0.4508056640625,0.69573974609375,0.30780029296875,0.0215,-17.75,27.6875,-22.75,8.32,-3.67,Standing,2
0.99,0.945338013,24,3,3,3,0,-356.0,8.26,-3.74,0.08,-0.06,-0.07,-0.15,-1.25,-0.1875,478.125,0.4508056640625,0.6956787109375,0.30780029296875,0.0215,-17.75,27.6875,-22.75,8.32,-3.67,Standing,2
1.0,0.948615112,24,3,3,3,0,-360.0,8.23,-3.59,0.04,-0.08,0.07,-0.11,-0.75,-0.5,478.1875,0.4508056640625,0.69561767578125,0.307861328125,0.0215,-17.75,27.6875,-22.75,8.32,-3.67,Standing,2
1.01,0.948615112,24,3,3,3,0,-358.0,8.21,-3.53,0.06,-0.11,0.12,-0.18,-0.5,-0.75,478.25,0.45074462890625,0.69561767578125,0.307861328125,0.0215,-17.75,27.6875,-22.8125,8.32,-3.66,Standing,2
1.02,0.979691203,24,3,3,3,0,-359.0,8.23,-3.56,0.05,-0.09,0.1,-0.26,-1.0625,-0.6875,478.4375,0.45062255859375,0.695556640625,0.30792236328125,0.0215,-17.75,27.6875,-22.8125,8.33,-3.66,Standing,2
1.03,0.979691203,24,3,3,3,0,-360.0,8.26,-3.63,0.04,-0.06,0.02,-0.41,-1.1875,-0.5625,478.625,0.4505615234375,0.69549560546875,0.3079833984375,0.0212,-17.75,27.25,-22.8125,8.33,-3.66,Standing,2
1.04,0.992422648,24,3,3,3,0,-362.0,8.29,-3.72,0.03,-0.03,-0.06,-0.47,-1.0625,-0.5625,478.8125,0.450439453125,0.69537353515625,0.30810546875,0.0212,-17.75,27.25,-22.8125,8.33,-3.65,Standing,2
1.05,0.992422648,24,3,3,3,0,-365.0,8.34,-3.74,0.0,0.01,-0.08,-0.46,-0.625,-0.625,479.0,0.45025634765625,0.6953125,0.3082275390625,0.0212,-17.75,27.25,-22.8125,8.33,-3.65,Standing,2
1.06,1.011786011,24,3,3,3,0,-365.0,8.38,-3.71,0.0,0.05,-0.06,-0.35,-0.0625,-0.625,479.0625,0.45013427734375,0.69525146484375,0.308349609375,0.0212,-17.75,27.25,-22.8125,8.33,-3.64,Standing,2
1.07,1.011786011,24,3,3,3,0,-361.0,8.39,-3.64,0.04,0.05,0.0,-0.22,-0.375,-0.75,479.1875,0.4500732421875,0.69525146484375,0.30841064453125,0.0212,-17.75,27.25,-22.8125,8.33,-3.64,Standing,2
