timestamp,android_nano_timestamp,temperature,calib_mag,calib_accel,calib_gyro,calib_sys,acc_x,acc_y,acc_z,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,label,person
0.82,0.760472087,27,3,3,3,1,-2.64,9.23,2.11,-0.02,0.01,0.04,-0.875,-1.375,0.3125,0.23065185546875,0.34283447265625,-0.52593994140625,-0.743408203125,-3.5,-28.6875,9.6875,-2.61,9.21,2.07,Nothing,5
0.83,0.760472087,27,3,3,3,1,-2.61,9.23,2.09,0.0,0.01,0.01,-1.25,-1.3125,0.3125,0.23065185546875,0.34271240234375,-0.52587890625,-0.7435302734375,-3.5,-28.6875,9.6875,-2.61,9.21,2.07,Nothing,5
0.84,0.773388347,27,3,3,3,1,-2.61,9.27,2.13,0.0,0.05,0.05,-0.75,-0.6875,0.1875,0.23065185546875,0.3426513671875,-0.52581787109375,-0.74359130859375,-3.5,-28.6875,9.6875,-2.61,9.21,2.08,Nothing,5
0.85,0.773388347,27,3,3,3,1,-2.58,9.22,2.17,0.03,0.0,0.09,0.375,0.0,0.1875,0.23065185546875,0.3426513671875,-0.52581787109375,-0.74359130859375,-3.5,-28.6875,9.6875,-2.61,9.21,2.08,Nothing,5
0.86,0.789159546,27,3,3,3,1,-2.6,9.23,2.22,0.01,0.01,0.14,0.5,0.375,0.3125,0.23065185546875,0.3426513671875,-0.52581787109375,-0.74359130859375,-3.5,-29.375,8.875,-2.61,9.21,2.08,Nothing,5
0.87,0.789159546,27,3,3,3,1,-2.63,9.28,2.2,-0.01,0.06,0.12,-0.1875,0.0,0.3125,0.23065185546875,0.3426513671875,-0.52581787109375,-0.74359130859375,-3.5,-29.375,8.875,-2.61,9.21,2.08,Nothing,5
0.88,0.819217001,27,3,3,3,1,-2.64,9.29,2.19,-0.02,0.07,0.11,-1.125,-0.8125,0.625,0.23065185546875,0.342529296875,-0.52581787109375,-0.74365234375,-3.5,-29.375,8.875,-2.61,9.21,2.08,Nothing,5
0.89,0.819217001,27,3,3,3,1,-2.67,9.28,2.15,-0.05,0.06,0.06,-1.625,-1.5625,0.8125,0.230712890625,0.34234619140625,-0.5257568359375,-0.7437744140625,-3.5,-29.375,8.875,-2.61,9.21,2.08,Nothing,5
0.9,0.835019939,27,3,3,3,1,-2.66,9.26,2.13,-0.05,0.04,0.04,-1.75,-1.8125,0.8125,0.230712890625,0.3421630859375,-0.52569580078125,-0.743896484375,-3.5,-29.375,8.875,-2.61,9.21,2.09,Nothing,5
0.91,0.835019939,27,3,3,3,1,-2.65,9.23,2.1,-0.04,0.01,0.01,-1.6875,-2.1875,0.625,0.230712890625,0.3419189453125,-0.525634765625,-0.7440185546875,-2.75,-28.375,9.25,-2.61,9.21,2.09,Nothing,5
0.92,0.865263062,27,3,3,3,1,-2.62,9.24,2.14,-0.01,0.03,0.04,-1.375,-2.0625,0.5,0.23065185546875,0.341796875,-0.52557373046875,-0.744140625,-2.75,-28.375,9.25,-2.61,9.21,2.09,Nothing,5
0.93,0.865263062,27,3,3,3,1,-2.58,9.19,2.16,0.02,-0.02,0.06,-0.9375,-1.6875,0.375,0.23065185546875,0.3416748046875,-0.52557373046875,-0.74420166015625,-2.75,-28.375,9.25,-2.6,9.21,2.09,Nothing,5
0.94,0.878448812,27,3,3,3,1,-2.56,9.17,2.17,0.04,-0.04,0.06,-0.75,-1.8125,0.5,0.2305908203125,0.34149169921875,-0.5255126953125,-0.74432373046875,-2.75,-28.375,9.25,-2.6,9.21,2.1,Nothing,5
