timestamp,android_nano_timestamp,temperature,calib_mag,calib_accel,calib_gyro,calib_sys,acc_x,acc_y,acc_z,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,label,person
0.48,0.432638957,23,3,3,3,2,-955.0,1.98,2.42,-0.09,0.49,0.35,0.99,4.875,-4.0625,379.25,-0.4993896484375,0.380615234375,0.6845703125,0.0178,-11.0625,25.875,-59.125,1.48,2.07,climb_up,7
0.49,0.432638957,23,3,3,3,2,-945.0,2.03,2.4,0.01,0.55,0.34,1.12,5.125,-4.75,379.6875,-0.49957275390625,0.3809814453125,0.6839599609375,0.0178,-11.0625,25.875,-59.1875,1.47,2.06,climb_up,7
0.5,0.434653849,23,3,3,3,2,-920.0,1.96,2.19,0.27,0.49,0.14,1.22,5.3125,-4.8125,380.125,-0.49981689453125,0.38140869140625,0.68328857421875,0.0178,-11.0625,25.875,-59.1875,1.47,2.05,climb_up,7
0.51,0.434653849,23,3,3,3,2,-905.0,1.96,2.08,0.42,0.49,0.04,1.32,5.8125,-5.5,380.625,-0.5001220703125,0.38189697265625,0.6826171875,0.0178,-11.5,25.0,-59.1875,1.46,2.04,climb_up,7
0.52,0.443892619,23,3,3,3,2,-891.0,1.97,2.12,0.56,0.51,0.1,1.56,7.3125,-6.125,381.1875,-0.50042724609375,0.3824462890625,0.6817626953125,0.0178,-11.5,25.0,-59.25,1.45,2.02,climb_up,7
0.53,0.443892619,23,3,3,3,2,-891.0,2.01,2.19,0.56,0.55,0.18,1.67,9.0,-7.125,381.75,-0.5008544921875,0.38299560546875,0.6807861328125,0.0178,-11.5,25.0,-59.25,1.45,2.0,climb_up,7
0.54,0.473947306,23,3,3,3,2,-921.0,1.92,1.99,0.27,0.47,0.0,1.6,8.6875,-8.0,382.375,-0.50128173828125,0.383544921875,0.6798095703125,0.0178,-11.5,25.0,-59.3125,1.44,1.99,climb_up,7
0.55,0.473947306,23,3,3,3,2,-929.0,1.8,1.85,0.2,0.37,-0.13,1.57,5.6875,-9.0625,383.1875,-0.5015869140625,0.3839111328125,0.678955078125,0.0178,-11.5,25.0,-59.3125,1.43,1.98,climb_up,7
0.56,0.487636027,23,3,3,3,2,-927.0,1.79,1.74,0.22,0.37,-0.22,1.71,2.875,-10.375,384.1875,-0.50177001953125,0.38421630859375,0.6781005859375,0.0203,-10.75,25.875,-59.375,1.41,1.97,climb_up,7
0.57,0.487636027,23,3,3,3,2,-899.0,1.83,1.81,0.5,0.43,-0.14,1.94,2.5625,-11.8125,385.375,-0.501953125,0.384521484375,0.67718505859375,0.0203,-10.75,25.875,-59.375,1.4,1.96,climb_up,7
0.58,0.502782674,23,3,3,3,2,-891.0,1.88,1.89,0.59,0.49,-0.06,2.23,5.125,-13.125,386.625,-0.502197265625,0.3848876953125,0.67608642578125,0.0203,-10.75,25.875,-59.375,1.38,1.95,climb_up,7
0.59,0.502782674,23,3,3,3,2,-910.0,1.76,1.87,0.4,0.39,-0.05,2.57,7.6875,-14.1875,387.9375,-0.50262451171875,0.385498046875,0.67474365234375,0.0203,-10.75,25.875,-59.4375,1.36,1.93,climb_up,7
0.6,0.533583577,23,3,3,3,2,-932.0,1.52,1.83,0.2,0.16,-0.08,3.04,7.375,-15.1875,389.3125,-0.5028076171875,0.3863525390625,0.67333984375,0.0203,-10.75,25.875,-59.5,1.35,1.92,climb_up,7
0.61,0.533583577,23,3,3,3,2,-955.0,1.13,1.77,-0.03,-0.2,-0.12,3.55,5.4375,-16.1875,391.0625,-0.5029296875,0.38714599609375,0.67181396484375,0.0186,-11.5,26.5625,-59.5,1.33,1.9,climb_up,7
0.62,0.549752401,23,3,3,3,2,-955.0,0.93,1.8,-0.02,-0.37,-0.09,4.05,4.75,-17.8125,393.125,-0.5029296875,0.38800048828125,0.670166015625,0.0186,-11.5,26.5625,-59.5625,1.31,1.89,climb_up,7
0.63,0.549752401,23,3,3,3,2,-941.0,0.8,1.88,0.12,-0.48,0.0,4.53,6.625,-19.9375,395.3125,-0.5030517578125,0.38897705078125,0.66827392578125,0.0186,-11.5,26.5625,-59.5625,1.28,1.87,climb_up,7
0.64,0.563017985,23,3,3,3,2,-919.0,0.74,2.04,0.35,-0.51,0.19,5.02,11.375,-22.75,397.6875,-0.50341796875,0.39019775390625,0.6658935546875,0.0186,-11.5,26.5625,-59.625,1.26,1.84,climb_up,7
